,NAME,submission_date,avg_mobility
760960,Washington,12/17/2020,-23.0
760961,Washington,12/18/2020,-25.6
760962,Washington,12/19/2020,-18.8
760963,Washington,12/20/2020,-18.4
760964,Washington,12/21/2020,-27.4
760965,Washington,12/22/2020,-11.2
760966,Washington,12/23/2020,-6.4
760967,Washington,12/24/2020,-17.6
760968,Washington,12/25/2020,-64.4
760969,Washington,12/26/2020,-28.0
760970,Washington,12/27/2020,-24.0
760971,Washington,12/28/2020,-20.0
760972,Washington,12/29/2020,-22.2
760973,Washington,12/30/2020,-26.4
760974,Washington,12/31/2020,-17.2
771869,West Virginia,02/15/2020,4.2
771870,West Virginia,02/16/2020,8.0
771871,West Virginia,02/17/2020,1.0
771872,West Virginia,02/18/2020,2.6
771873,West Virginia,02/19/2020,3.0
771874,West Virginia,02/20/2020,0.6
771875,West Virginia,02/21/2020,-0.8
771876,West Virginia,02/22/2020,11.2
771877,West Virginia,02/23/2020,14.8
771878,West Virginia,02/24/2020,2.6
771879,West Virginia,02/25/2020,5.4
771880,West Virginia,02/26/2020,6.2
771881,West Virginia,02/27/2020,-1.2
771882,West Virginia,02/28/2020,1.4
771883,West Virginia,02/29/2020,6.0
771884,West Virginia,03/01/2020,19.4
771885,West Virginia,03/02/2020,4.8
771886,West Virginia,03/03/2020,10.0
771887,West Virginia,03/04/2020,11.8
771888,West Virginia,03/05/2020,10.8
771889,West Virginia,03/06/2020,0.2
771890,West Virginia,03/07/2020,12.0
771891,West Virginia,03/08/2020,29.2
771892,West Virginia,03/09/2020,15.2
771893,West Virginia,03/10/2020,5.4
771894,West Virginia,03/11/2020,8.8
771895,West Virginia,03/12/2020,15.0
771896,West Virginia,03/13/2020,10.2
771897,West Virginia,03/14/2020,7.8
771898,West Virginia,03/15/2020,4.8
771899,West Virginia,03/16/2020,1.4
771900,West Virginia,03/17/2020,-0.4
771901,West Virginia,03/18/2020,-3.4
771902,West Virginia,03/19/2020,-7.2
771903,West Virginia,03/20/2020,-12.0
771904,West Virginia,03/21/2020,-13.6
771905,West Virginia,03/22/2020,-12.4
771906,West Virginia,03/23/2020,-23.8
771907,West Virginia,03/24/2020,-20.4
771908,West Virginia,03/25/2020,-31.0
771909,West Virginia,03/26/2020,-20.2
771910,West Virginia,03/27/2020,-28.0
771911,West Virginia,03/28/2020,-12.2
771912,West Virginia,03/29/2020,-13.2
771913,West Virginia,03/30/2020,-21.8
771914,West Virginia,03/31/2020,-27.2
771915,West Virginia,04/01/2020,-25.4
771916,West Virginia,04/02/2020,-24.0
771917,West Virginia,04/03/2020,-23.0
771918,West Virginia,04/04/2020,-13.0
771919,West Virginia,04/05/2020,-17.8
771920,West Virginia,04/06/2020,-21.4
771921,West Virginia,04/07/2020,-22.6
